question_id,question,play,question_type,expected_focus,system,retrieved_passages,generated_response,correctness_score,grounding_score,retrieval_relevance_score,usefulness_score,style_quality_score,comments
Q1,Why does Macbeth kill Duncan?,Macbeth,contextual_qa,"Ambition, prophecy, Lady Macbeth's influence, and Macbeth's decision to seize power.",baseline,N/A - no retrieval,"Macbeth kills King Duncan due to the prophecy of the three witches that he will become the Thane of Cawdor and eventually the King of Scotland. He also receives encouragement from Lady Macbeth, who pressures him to seize the opportunity to rise to power.",4,1,N/A,4,3,Covers witches and Lady Macbeth. Missing explicit seizing power angle
Q1,Why does Macbeth kill Duncan?,Macbeth,contextual_qa,"Ambition, prophecy, Lady Macbeth's influence, and Macbeth's decision to seize power.",rag,"[Macbeth Act2 Sc3]: [Scene: Duncan's murder is discovered and suspicion begins to spread.] MACBETH: He does; he did appo | [Macbeth Act2 Sc3]: [Scene: Duncan's murder is discovered and suspicion begins to spread.] MACBETH: O, yet I do repent m | [Macbeth Act2 Sc3]: [Scene: Duncan's murder is discovered and suspicion begins to spread.] MACBETH: You are, and do not  | [Macbeth Act3 Sc2]: [Scene: Macbeth and Lady Macbeth reflect on insecurity after gaining power.] MACBETH: We have scotch | [Macbeth Act2 Sc3]: [Scene: Duncan's murder is discovered and suspicion begins to spread.] MACBETH: What is't you say? t","Macbeth kills Duncan because he is driven by a desire for power and is manipulated by Lady Macbeth. 

Macbeth is struggling with the consequences of his actions, as shown by his regret and guilt in the play. He knows Duncan's murder was a mistake, but it's too late to turn back. Macbeth's statement ""We have scotch'd the snake, not kill'd it"" in Act 3, Scene 2, reveals his understanding that killing Duncan will not solve his problems and will only lead to more suffering.",3,3,2,3,3,"Correctly states power/manipulation motivation but retrieves post-murder scenes (Act2 Sc3, Act3 Sc2). Misuses 'scotch'd the snake' quote as evidence for why Duncan was killed - it actually refers to aftermath. Lady Macbeth's influence underdeveloped."
Q2,Who is Hamlet?,Hamlet,concept_explanation,"Prince of Denmark, son of the murdered king, central figure in revenge plot.",baseline,N/A - no retrieval,"In William Shakespeare's play, Hamlet is the titular prince of Denmark, who seeks to avenge his father's murder, allegedly at the hands of his uncle Claudius, who has taken the throne.",5,1,N/A,5,3,Precisely identifies all expected focus points
Q2,Who is Hamlet?,Hamlet,concept_explanation,"Prince of Denmark, son of the murdered king, central figure in revenge plot.",rag,"[Hamlet Act3 Sc2]: [Scene: The play-within-a-play unsettles Claudius.] HAMLET: Ay, sir, what of him? | [Hamlet Act3 Sc1]: [Scene: Hamlet reflects on existence, rejects Ophelia, and Claudius suspects danger.] POLONIUS: 'Tis | [Hamlet Act3 Sc1]: [Scene: Hamlet reflects on existence, rejects Ophelia, and Claudius suspects danger.] GUILDENSTERN:  | [Hamlet Act3 Sc4]: [Scene: Hamlet confronts Gertrude and kills Polonius behind the arras.] HAMLET: Nay, I know not. Is  | [Hamlet Act4 Sc1]: [Scene: Gertrude tells Claudius that Hamlet killed Polonius.] CLAUDIUS: What, Gertrude? How does Ham","Hamlet is the prince of Denmark who is trying to uncover the truth about his father's death.

Hamlet is a complex character who is often uncertain and questioning, as seen in his conversations with Polonius and Guildenstern, where he is forced to consider the meaning of life.

Hamlet's behavior is causing concern for those around him, including Claudius, who is worried about the prince's actions and the potential danger they pose.

In the play-within-a-play, Hamlet's performance unsettles Claudius, suggesting that Hamlet is on to something.

Despite the chaos and confusion, Hamlet remains determined to uncover the truth.

This tragic hero is at the center of the play, driving the plot forward with his actions and words.",3,2,2,3,3,"Retrieves mid-play scenes (Act3 Sc1/Sc2, Act4 Sc1) rather than introduction scenes. Verbose and vague, does not clearly state Hamlet is prince or that his father was murdered by Claudius."
Q3,What is the conflict between the Montagues and the Capulets?,Romeo and Juliet,concept_explanation,Long-standing family feud in Romeo and Juliet.,baseline,N/A - no retrieval,"In William Shakespeare's play Romeo and Juliet, the conflict between the Montagues and the Capulets is a long-standing feud between two wealthy families in Verona, Italy. The exact cause of the feud is not specified in the play, but it is portrayed as a deep-seated hatred that has been passed down through generations.",4,1,N/A,4,3,Accurate description including Verona setting and generational feud. Slightly generic but hits expected focus.
Q3,What is the conflict between the Montagues and the Capulets?,Romeo and Juliet,concept_explanation,Long-standing family feud in Romeo and Juliet.,rag,"[Romeo and Juliet Act1 Sc1]: [Scene: A street fight shows the feud; Romeo is lovesick for Rosaline.] CITIZENS: Down with the Capu | [Romeo and Juliet Act1 Sc2]: [Scene: Paris asks to marry Juliet, while Romeo learns about the Capulet feast.] CAPULET: But Montag | [Romeo and Juliet Act3 Sc1]: [Scene: Tybalt kills Mercutio; Romeo kills Tybalt and is banished.] CAPULET: Wife. He is a kinsman t | [Romeo and Juliet Act1 Sc1]: [Scene: A street fight shows the feud; Romeo is lovesick for Rosaline.] MONTAGUE: Thou villain Capul | [Romeo and Juliet Act1 Sc1]: [Scene: A street fight shows the feud; Romeo is lovesick for Rosaline.] PRINCE: Rebellious subjects,","The conflict between the Montagues and the Capulets is a bitter feud that has been ongoing for a long time, causing street fights and violence in the city of Verona. The two families have a deep-seated hatred for each other, with the Capulets accusing the Montagues of being rebellious and enemies of peace. The Prince warns both families to put aside their differences and maintain the peace, threatening severe punishment if they continue to cause trouble. This long-standing feud has created a tense atmosphere in Verona, with the city's citizens caught in the middle. The conflict is so intense that even the Prince feels the need to intervene.",4,4,5,4,3,"Best RAG answer for concept questions. Retrieves Act1 Sc1 street fight and Prince's intervention perfectly. Correctly identifies hatred, violence, and the Prince's warning."
Q4,Why does Hamlet delay taking revenge?,Hamlet,contextual_qa,"Uncertainty, moral hesitation, need for proof, philosophical reflection.",baseline,N/A - no retrieval,"Hamlet delays taking revenge primarily due to his introspective and philosophical nature, which causes him to question the morality and consequences of his actions. He grapples with the issue of whether killing Claudius is justified, and whether it aligns with his sense of morality and justice.",4,1,N/A,4,3,Identifies moral hesitation and philosophical reflection well. Misses need-for-proof aspect
Q4,Why does Hamlet delay taking revenge?,Hamlet,contextual_qa,"Uncertainty, moral hesitation, need for proof, philosophical reflection.",rag,"[Hamlet Act4 Sc4]: [Scene: Hamlet compares himself to Fortinbras and criticises his delay.] HAMLET: Why, then the Polac | [Hamlet Act5 Sc1]: [Scene: Hamlet reflects on death in the graveyard and confronts Laertes at Ophelia's funeral.] HAMLE | [Hamlet Act4 Sc4]: [Scene: Hamlet compares himself to Fortinbras and criticises his delay.] CAPTAIN: Against some part  | [Hamlet Act5 Sc1]: [Scene: Hamlet reflects on death in the graveyard and confronts Laertes at Ophelia's funeral.] HAMLE | [Hamlet Act4 Sc4]: [Scene: Hamlet compares himself to Fortinbras and criticises his delay.] CAPTAIN: I will do't, my lo","Hamlet delays taking revenge because he is torn between his desire for justice and his own moral principles, causing him to hesitate and question his actions. His conversation with Fortinbras serves as a reminder that others, like Fortinbras, are willing to take action and risk their lives to achieve their goals. Hamlet's delay is also influenced by his emotional state, as he grapples with the complexities of mortality and the nature of death, as seen in his reflections in the graveyard. This internal turmoil affects his decision-making and leads to further inaction.",3,3,2,3,3,Correctly identifies moral principles and death/graveyard reflection. Retrieves Act4/Act5 instead of Act2/Act3 where delay is philosophically established. Misses 'need for proof'.
Q5,Generate a short Shakespearean-style response from Juliet explaining her conflict after meeting Romeo.,Romeo and Juliet,stylised_generation,Creative stylised output; conflict between love for Romeo and family loyalty.,baseline,N/A - no retrieval,"""O, cruel fate, that brought thee to my sight,
A Montague, and yet so fair and bright.
Our families' hate, a burning fire that's old,
Now doth confound my heart, with love that's bold.

In secret, I must see thee, and confess
The passion that doth burn within my breast.
Yet, our love's a sin, that must be concealed,
Lest death and shame, our love's sweet joy, revealed.""",4,1,N/A,3,4,Solid ABAB verse. Captures love-vs-family tension. Slightly overwrought in places but thematically on-point.
Q5,Generate a short Shakespearean-style response from Juliet explaining her conflict after meeting Romeo.,Romeo and Juliet,stylised_generation,Creative stylised output; conflict between love for Romeo and family loyalty.,rag,"[Romeo and Juliet Act2 Sc4]: [Scene: Romeo arranges marriage plans through the Nurse.] NURSE: I will tell her, sir, that you do p | [Romeo and Juliet Act4 Sc2]: [Scene: Juliet pretends obedience, causing the wedding to be moved earlier.] CAPULET: Well, be may c | [Romeo and Juliet Act2 Sc5]: [Scene: The Nurse tells Juliet about Romeo's marriage plan.] JULIET: Here's such a coil! Come, what  | [Romeo and Juliet Act2 Sc4]: [Scene: Romeo arranges marriage plans through the Nurse.] NURSE: If you be he, sir, I desire some co | [Romeo and Juliet Act1 Sc1]: [Scene: A street fight shows the feud; Romeo is lovesick for Rosaline.] ROMEO: What, shall I groan a","O, woe is me, whose heart doth now contend
'Twixt love and duty, in a woeful bind
This Romeo, fair and full of sweet words, doth lend
A charm that doth entice my troubled mind
My parents' will, a burden doth impose
And I, a maiden, in this strife am lost.",4,3,3,3,4,Tighter 5-line verse. 'Twixt love and duty' captures the conflict well. Retrieval (Nurse scenes) not optimal. Verse output is thematically appropriate. Good Elizabethan register.
